Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,4000,COL23-03C-0468,AMERICAN GUMBALL 24PCSX40,,"1,056.24",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,848,AMERICAN GUMBALL 24PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,909.31,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,848,AMERICAN GUMBALL 24PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,909.31,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,848,AMERICAN GUMBALL 24PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,CHAMPI ECLAIR 50PCSX40,,"1,445.04",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,989,CHAMPI ECLAIR 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"1,145.15",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,989,CHAMPI ECLAIR 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"1,145.15",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,989,CHAMPI ECLAIR 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,CHOCO JOY 50PCSX40,,"7,225.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,"5,670.20",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0468,Cost of sales,,"5,670.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,809,CHOCO JOY 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0468,CHOCQUIK COOKIES 10PCSX20,,"1,069.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,685,CHOCQUIK COOKIES 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0468,Cost of sales,912.63,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),1,685,CHOCQUIK COOKIES 10PCSX20,Case,CIFPI
